date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:39:00	276369/276369	---M-Z	200	added ('OK')	text/html	date:Thu,%2021%20Nov%202024%2015:18:08%20GMT	https://demisabah.com/keunikan-gunung-kinabalu-tarikan-pelancong-berkunjung/	C:/My%20Web%20Sites/Demi%20Sabah/demisabah.com/keunikan-gunung-kinabalu-tarikan-pelancong-berkunjung/index.html	(from )
02:39:01	70/70	---M-Z	200	added ('OK')	text/plain	date:Mon,%2009%20Dec%202024%2018:39:02%20GMT	https://demisabah.com/robots.txt		(from )
02:39:01	25511/25511	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Mar%202024%2014:48:26%20GMT	https://demisabah.com/wp-content/uploads/2020/10/favicon-sabah.png	C:/My%20Web%20Sites/Demi%20Sabah/demisabah.com/wp-content/uploads/2020/10/favicon-sabah.png	(from https://demisabah.com/keunikan-gunung-kinabalu-tarikan-pelancong-berkunjung/)
02:39:02	114706/114706	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Nov%202024%2021:32:05%20GMT	https://demisabah.com/wp-includes/css/dist/block-library/style.min.css?ver=6.7	C:/My%20Web%20Sites/Demi%20Sabah/demisabah.com/wp-includes/css/dist/block-library/style.min0b5e.css	(from https://demisabah.com/keunikan-gunung-kinabalu-tarikan-pelancong-berkunjung/)
02:39:02	807765/807765	---M--	200	added ('OK')	image/jpeg	date:Fri,%2029%20Mar%202024%2015:55:37%20GMT	https://demisabah.com/wp-content/uploads/2022/02/dsfdfdsfdsf.jpg	C:/My%20Web%20Sites/Demi%20Sabah/demisabah.com/wp-content/uploads/2022/02/dsfdfdsfdsf.jpg	(from https://demisabah.com/keunikan-gunung-kinabalu-tarikan-pelancong-berkunjung/)
02:39:02	886/886	---M-Z	200	added ('OK')	text/xml	date:Mon,%2009%20Dec%202024%2018:39:03%20GMT	https://demisabah.com/keunikan-gunung-kinabalu-tarikan-pelancong-berkunjung/feed/	C:/My%20Web%20Sites/Demi%20Sabah/demisabah.com/keunikan-gunung-kinabalu-tarikan-pelancong-berkunjung/feed/index.html	(from https://demisabah.com/keunikan-gunung-kinabalu-tarikan-pelancong-berkunjung/)
02:39:02	38728/38728	---M-Z	200	added ('OK')	text/css	date:Fri,%2029%20Mar%202024%2013:29:13%20GMT	https://demisabah.com/wp-content/plugins/td-composer/td-multi-purpose/style.css?ver=6217cd4d7820e3bfbc83cc495211f01b	C:/My%20Web%20Sites/Demi%20Sabah/demisabah.com/wp-content/plugins/td-composer/td-multi-purpose/style0e95.css	(from https://demisabah.com/keunikan-gunung-kinabalu-tarikan-pelancong-berkunjung/)
02:39:02	157016/157016	---M-Z	200	added ('OK')	text/css	date:Fri,%2029%20Mar%202024%2013:28:57%20GMT	https://demisabah.com/wp-content/themes/Newspaper/style.css?ver=12.6.5	C:/My%20Web%20Sites/Demi%20Sabah/demisabah.com/wp-content/themes/Newspaper/style1936.css	(from https://demisabah.com/keunikan-gunung-kinabalu-tarikan-pelancong-berkunjung/)
02:39:02	169492/169492	---M-Z	200	added ('OK')	text/css	date:Fri,%2029%20Mar%202024%2013:29:10%20GMT	https://demisabah.com/wp-content/plugins/td-composer/legacy/Newspaper/assets/css/td_legacy_main.css?ver=6217cd4d7820e3bfbc83cc495211f01b	C:/My%20Web%20Sites/Demi%20Sabah/demisabah.com/wp-content/plugins/td-composer/legacy/Newspaper/assets/css/td_legacy_main0e95.css	(from https://demisabah.com/keunikan-gunung-kinabalu-tarikan-pelancong-berkunjung/)
02:39:03	48163/48163	---M-Z	200	added ('OK')	text/css	date:Fri,%2029%20Mar%202024%2013:29:19%20GMT	https://demisabah.com/wp-content/plugins/td-cloud-library/assets/css/tdb_main.css?ver=be262a20ca49ba5e513ad6176c77b975	C:/My%20Web%20Sites/Demi%20Sabah/demisabah.com/wp-content/plugins/td-cloud-library/assets/css/tdb_mainf2e4.css	(from https://demisabah.com/keunikan-gunung-kinabalu-tarikan-pelancong-berkunjung/)
02:39:03	87553/87553	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2028%20Aug%202023%2014:44:24%20GMT	https://demisabah.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/My%20Web%20Sites/Demi%20Sabah/demisabah.com/wp-includes/js/jquery/jquery.minf43b.js	(from https://demisabah.com/keunikan-gunung-kinabalu-tarikan-pelancong-berkunjung/)
02:39:03	13577/13577	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2009%20Jun%202023%2003:19:24%20GMT	https://demisabah.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/My%20Web%20Sites/Demi%20Sabah/demisabah.com/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://demisabah.com/keunikan-gunung-kinabalu-tarikan-pelancong-berkunjung/)
02:39:04	191743/191743	---M--	200	added ('OK')	text/javascript	etag:15887474417673917690	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-8787331674405476	C:/My%20Web%20Sites/Demi%20Sabah/pagead2.googlesyndication.com/pagead/js/ff338.txt	(from https://demisabah.com/keunikan-gunung-kinabalu-tarikan-pelancong-berkunjung/)
02:39:04	61305/61305	---M--	200	added ('OK')	image/jpeg	date:Fri,%2029%20Mar%202024%2014:37:53%20GMT	https://demisabah.com/wp-content/uploads/2024/03/login-mod.jpg	C:/My%20Web%20Sites/Demi%20Sabah/demisabah.com/wp-content/uploads/2024/03/login-mod.jpg	(from https://demisabah.com/keunikan-gunung-kinabalu-tarikan-pelancong-berkunjung/)
