date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:34:15	89/89	---MCZ	200	added ('OK')	text/plain	etag:W/%2260679f29-56%22	https://theplanetd.com/robots.txt		(from )
02:34:16	222516/222516	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2016:09:18%20GMT	https://theplanetd.com/mount-kinabalu-2-tough-days-in-borneo/	C:/My%20Web%20Sites/The%20Planet%20D/theplanetd.com/mount-kinabalu-2-tough-days-in-borneo/index.html	(from )
02:34:16	162/162	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Dec%202024%2018:34:18%20GMT	https://theplanetd.com/mount-kinabalu-2-tough-days-in-borneo/i	C:/My%20Web%20Sites/The%20Planet%20D/theplanetd.com/mount-kinabalu-2-tough-days-in-borneo/i	(from https://theplanetd.com/mount-kinabalu-2-tough-days-in-borneo/)
02:34:17	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Dec%202024%2018:34:19%20GMT	https://theplanetd.com/mount-kinabalu-2-tough-days-in-borneo/i/	C:/My%20Web%20Sites/The%20Planet%20D/theplanetd.com/mount-kinabalu-2-tough-days-in-borneo/i/index.html	(from https://theplanetd.com/mount-kinabalu-2-tough-days-in-borneo/)
02:34:18	105016/105016	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2009%20Dec%202024%2018:34:19%20GMT	https://theplanetd.com/mount-kinabalu-2-tough-days-in-borneo/window.location.href	C:/My%20Web%20Sites/The%20Planet%20D/theplanetd.com/mount-kinabalu-2-tough-days-in-borneo/window.location.href	(from https://theplanetd.com/mount-kinabalu-2-tough-days-in-borneo/)
02:34:18	105016/105016	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2009%20Dec%202024%2018:34:20%20GMT	https://theplanetd.com/mount-kinabalu-2-tough-days-in-borneo/Firefox/	C:/My%20Web%20Sites/The%20Planet%20D/theplanetd.com/mount-kinabalu-2-tough-days-in-borneo/Firefox/index.html	(from https://theplanetd.com/mount-kinabalu-2-tough-days-in-borneo/)
02:34:19	56915/56915	---M--	200	added ('OK')	image/jpeg	etag:%2259c69682-de53%22	https://theplanetd.com/images/mount-kinabalu-summit.jpg	C:/My%20Web%20Sites/The%20Planet%20D/theplanetd.com/images/mount-kinabalu-summit.jpg	(from https://theplanetd.com/mount-kinabalu-2-tough-days-in-borneo/)
02:34:19	186116/186116	---MCZ	200	added ('OK')	application/javascript	etag:W/%222d704-193acac1110%22	https://scripts.stay22.com/letmeallez.js	C:/My%20Web%20Sites/The%20Planet%20D/scripts.stay22.com/letmeallez.js	(from https://theplanetd.com/mount-kinabalu-2-tough-days-in-borneo/)
02:34:19	662/662	---M--	200	added ('OK')	image/png	etag:%226749deea-296%22	https://theplanetd.com/wp-content/plugins/wp-rocket/assets/img/youtube.png	C:/My%20Web%20Sites/The%20Planet%20D/theplanetd.com/wp-content/plugins/wp-rocket/assets/img/youtube.png	(from https://theplanetd.com/mount-kinabalu-2-tough-days-in-borneo/)
02:34:20	1883/1883	---M--	200	added ('OK')	image/png	etag:%225d4dd054-75b%22	https://theplanetd.com/images/cropped-site-icon-32x32.png	C:/My%20Web%20Sites/The%20Planet%20D/theplanetd.com/images/cropped-site-icon-32x32.png	(from https://theplanetd.com/mount-kinabalu-2-tough-days-in-borneo/)
02:34:20	28196/28196	---M--	200	added ('OK')	image/png	etag:%225d4dd054-6e24%22	https://theplanetd.com/images/cropped-site-icon-192x192.png	C:/My%20Web%20Sites/The%20Planet%20D/theplanetd.com/images/cropped-site-icon-192x192.png	(from https://theplanetd.com/mount-kinabalu-2-tough-days-in-borneo/)
02:34:21	28274/28274	---M--	200	added ('OK')	image/png	etag:%225d4dd054-6e72%22	https://theplanetd.com/images/cropped-site-icon-180x180.png	C:/My%20Web%20Sites/The%20Planet%20D/theplanetd.com/images/cropped-site-icon-180x180.png	(from https://theplanetd.com/mount-kinabalu-2-tough-days-in-borneo/)
02:34:21	8828/8828	---M--	200	added ('OK')	image/png	etag:%2265fc514b-227c%22	https://theplanetd.com/images/the-planet-d-logo-2021.png	C:/My%20Web%20Sites/The%20Planet%20D/theplanetd.com/images/the-planet-d-logo-2021.png	(from https://theplanetd.com/mount-kinabalu-2-tough-days-in-borneo/)
02:34:22	67356/67356	---M--	200	added ('OK')	image/jpeg	etag:%2259c696ab-1071c%22	https://theplanetd.com/images/mount-kinabalu-forest.jpg	C:/My%20Web%20Sites/The%20Planet%20D/theplanetd.com/images/mount-kinabalu-forest.jpg	(from https://theplanetd.com/mount-kinabalu-2-tough-days-in-borneo/)
02:34:23	96402/96402	---M--	200	added ('OK')	image/jpeg	etag:%2259c69690-17892%22	https://theplanetd.com/images/mount-kinabalu-hike.jpg	C:/My%20Web%20Sites/The%20Planet%20D/theplanetd.com/images/mount-kinabalu-hike.jpg	(from https://theplanetd.com/mount-kinabalu-2-tough-days-in-borneo/)
02:34:24	42897/42897	---M--	200	added ('OK')	image/jpeg	etag:%2259c69679-a791%22	https://theplanetd.com/images/mount-kinabalu-tree.jpg	C:/My%20Web%20Sites/The%20Planet%20D/theplanetd.com/images/mount-kinabalu-tree.jpg	(from https://theplanetd.com/mount-kinabalu-2-tough-days-in-borneo/)
