date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:28:34	136/136	---MCZ	200	added ('OK')	text/plain	date:Tue,%2017%20Dec%202024%2014:28:37%20GMT	https://www.mountainiq.com/robots.txt		(from )
22:28:35	385690/385690	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Dec%202024%2014:28:37%20GMT	https://www.mountainiq.com/hiking-mount-kinabalu/	C:/My%20Web%20Sites/mountainiq/www.mountainiq.com/hiking-mount-kinabalu/index.html	(from )
22:28:37	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2017%20Dec%202024%2014:28:38%20GMT	http://www.mountainiq.com/wp-content/uploads/thrive/tcb-base-css-23365-1691578680.css	C:/My%20Web%20Sites/mountainiq/www.mountainiq.com/wp-content/uploads/thrive/tcb-base-css-23365-1691578680.0.delayed	(from https://www.mountainiq.com/hiking-mount-kinabalu/)
22:28:38	22501/22501	---MCZ	200	added ('OK')	text/css	etag:W/%2257e5-6027b5a5d6b43%22	https://www.mountainiq.com/wp-content/uploads/thrive/tcb-base-css-23365-1691578680.css	C:/My%20Web%20Sites/mountainiq/www.mountainiq.com/wp-content/uploads/thrive/tcb-base-css-23365-1691578680.css	(from https://www.mountainiq.com/hiking-mount-kinabalu/)
22:28:40	829/829	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%223efa7950bcada105a6ca7d0cb46c931f%22	https://www.mountainiq.com/hiking-mount-kinabalu/feed/	C:/My%20Web%20Sites/mountainiq/www.mountainiq.com/hiking-mount-kinabalu/feed/index.html	(from https://www.mountainiq.com/hiking-mount-kinabalu/)
22:28:41	79878/79878	---M--	200	added ('OK')	image/jpeg	etag:%2213806-59d3488d3dec0%22	https://www.mountainiq.com/wp-content/uploads/2020/01/mountain-iq-tour.jpg	C:/My%20Web%20Sites/mountainiq/www.mountainiq.com/wp-content/uploads/2020/01/mountain-iq-tour.jpg	(from https://www.mountainiq.com/hiking-mount-kinabalu/)
22:28:42	114706/114706	---MCZ	200	added ('OK')	text/css	etag:W/%221c012-626d9505daa58%22	https://www.mountainiq.com/wp-includes/css/dist/block-library/style.min.css?ver=6.7.1	C:/My%20Web%20Sites/mountainiq/www.mountainiq.com/wp-includes/css/dist/block-library/style.min9704.css	(from https://www.mountainiq.com/hiking-mount-kinabalu/)
22:28:43	962/962	---MCZ	200	added ('OK')	text/css	etag:W/%223c2-6139ea5d4113f%22	https://www.mountainiq.com/wp-content/plugins/easyazon/addition/components/popovers/resources/popovers.css?ver=5.1.1	C:/My%20Web%20Sites/mountainiq/www.mountainiq.com/wp-content/plugins/easyazon/addition/components/popovers/resources/popovers3c21.css	(from https://www.mountainiq.com/hiking-mount-kinabalu/)
22:28:44	18512/18512	---MCZ	200	added ('OK')	text/css	etag:W/%224850-6291e35d67ea7%22	https://www.mountainiq.com/wp-content/themes/thrive-theme/style.css?ver=10.4.1	C:/My%20Web%20Sites/mountainiq/www.mountainiq.com/wp-content/themes/thrive-theme/style6c3b.css	(from https://www.mountainiq.com/hiking-mount-kinabalu/)
22:28:45	63552/63552	---M-Z	200	added ('OK')	application/javascript	etag:W/%22f840-dQR8bqyXitj2yT866wfPErRkMKA%22	https://scripts.mediavine.com/tags/mountain-iq.js?ver=6.7.1	C:/My%20Web%20Sites/mountainiq/scripts.mediavine.com/tags/mountain-iq9704.js	(from https://www.mountainiq.com/hiking-mount-kinabalu/)
22:28:46	87553/87553	---MCZ	200	added ('OK')	text/javascript	etag:W/%2215601-60a04aaa323b0%22	https://www.mountainiq.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/My%20Web%20Sites/mountainiq/www.mountainiq.com/wp-includes/js/jquery/jquery.minf43b.js	(from https://www.mountainiq.com/hiking-mount-kinabalu/)
22:28:47	13577/13577	---MCZ	200	added ('OK')	text/javascript	etag:W/%223509-6027aa0e77649%22	https://www.mountainiq.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/My%20Web%20Sites/mountainiq/www.mountainiq.com/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://www.mountainiq.com/hiking-mount-kinabalu/)
