date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:44:11	190046/190046	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Dec%202024%2006:44:13%20GMT	https://pandupelancong.com/destination/gunung-kinabalu/	C:/My%20Web%20Sites/pandupelancong/pandupelancong.com/destination/gunung-kinabalu/index.html	(from )
14:44:11	176/176	---M--	200	added ('OK')	text/plain	date:Tue,%2017%20Dec%202024%2006:44:12%20GMT	https://pandupelancong.com/robots.txt		(from )
14:44:11	114706/114706	---M-Z	200	added ('OK')	text/css	etag:%221c012-67353067-1ba456;gz%22	https://pandupelancong.com/wp-includes/css/dist/block-library/style.min.css?ver=6.7.1	C:/My%20Web%20Sites/pandupelancong/pandupelancong.com/wp-includes/css/dist/block-library/style.min9704.css	(from https://pandupelancong.com/destination/gunung-kinabalu/)
14:44:11	11256/11256	---M-Z	200	added ('OK')	text/css	etag:%222bf8-6512aa65-1baab4;gz%22	https://pandupelancong.com/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.17	C:/My%20Web%20Sites/pandupelancong/pandupelancong.com/wp-includes/js/mediaelement/mediaelementplayer-legacy.min1f61.css	(from https://pandupelancong.com/destination/gunung-kinabalu/)
14:44:11	873/873	---M-Z	200	added ('OK')	application/rss+xml	etag:%228368a345234c0fc0c87ca71350d1e219%22	https://pandupelancong.com/destination/gunung-kinabalu/feed/	C:/My%20Web%20Sites/pandupelancong/pandupelancong.com/destination/gunung-kinabalu/feed/index.html	(from https://pandupelancong.com/destination/gunung-kinabalu/)
14:44:11	4186/4186	---M-Z	200	added ('OK')	text/css	etag:%22105a-6512aa65-1baabb;gz%22	https://pandupelancong.com/wp-includes/js/mediaelement/wp-mediaelement.min.css?ver=6.7.1	C:/My%20Web%20Sites/pandupelancong/pandupelancong.com/wp-includes/js/mediaelement/wp-mediaelement.min9704.css	(from https://pandupelancong.com/destination/gunung-kinabalu/)
14:44:12	1115/1115	---M-Z	200	added ('OK')	text/css	etag:%2245b-666a6d05-27a116;gz%22	https://pandupelancong.com/wp-content/plugins/travel-plugin-post/assets/custom-meta.css?ver=6.7.1	C:/My%20Web%20Sites/pandupelancong/pandupelancong.com/wp-content/plugins/travel-plugin-post/assets/custom-meta9704.css	(from https://pandupelancong.com/destination/gunung-kinabalu/)
14:44:12	3551/3551	---M-Z	200	added ('OK')	text/css	etag:%22ddf-666a6d05-27a117;gz%22	https://pandupelancong.com/wp-content/plugins/travel-plugin-post/assets/style.css?ver=6.7.1	C:/My%20Web%20Sites/pandupelancong/pandupelancong.com/wp-content/plugins/travel-plugin-post/assets/style9704.css	(from https://pandupelancong.com/destination/gunung-kinabalu/)
14:44:12	1672/1672	---M-Z	200	added ('OK')	text/css	etag:%22688-66043458-1c50e8;gz%22	https://pandupelancong.com/wp-content/plugins/wordpress-popular-posts/assets/css/wpp.css?ver=6.4.2	C:/My%20Web%20Sites/pandupelancong/pandupelancong.com/wp-content/plugins/wordpress-popular-posts/assets/css/wpp1e39.css	(from https://pandupelancong.com/destination/gunung-kinabalu/)
14:44:12	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%22d17-666aaf9e-27bf08;gz%22	https://pandupelancong.com/wp-content/themes/gpblogpro/css/owl.carousel.min.css?ver=6.7.1	C:/My%20Web%20Sites/pandupelancong/pandupelancong.com/wp-content/themes/gpblogpro/css/owl.carousel.min9704.css	(from https://pandupelancong.com/destination/gunung-kinabalu/)
